danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,mood
0.421,0.000442,0.935,0.000212,0.1,0.455,-5.153,0.0697,165.02,Energetic
0.502,0.000214,0.92,0,0.306,0.182,-4.588,0.0611,159.884,Energetic
0.587,0.0653,0.734,0.000571,0.398,0.401,-4.558,0.0407,125.848,Energetic
0.544,0.00851,0.932,0.00811,0.157,0.337,-5.816,0.0679,125.954,Energetic
0.383,0.000328,0.946,1.13E-06,0.0537,0.534,-8.122,0.0789,108.591,Energetic
0.341,0.00123,0.989,0.822,0.4,0.119,-3.828,0.111,103.48,Happy
0.784,0.261,0.675,1.40E-06,0.293,0.854,-7.718,0.049,124.908,Happy
0.404,0.702,0.249,0.000911,0.171,0.284,-15.881,0.0472,120.221,Sad
0.6,0.0938,0.882,0.912,0.0542,0.347,-8.394,0.0311,120.008,Happy
0.584,0.21,0.835,1.49E-06,0.126,0.371,-3.663,0.0584,128.106,Happy
0.439,0.316,0.454,0.000696,0.0901,0.388,-8.251,0.028,97.97,Sad
0.545,0.771,0.253,0.922,0.108,0.0529,-17.953,0.033,115.848,Calm
0.714,0.393,0.4,0.000718,0.109,0.318,-8.264,0.0618,81.974,Sad
0.389,0.24,0.52,0.00467,0.337,0.654,-8.114,0.0332,134.329,Sad
0.52,0.605,0.305,0.899,0.16,0.0389,-14.38,0.0322,120.109,Calm
0.211,4.51E-05,0.921,0,0.1,0.351,-4.468,0.0729,171.9,Energetic
0.636,0.618,0.319,1.70E-06,0.125,0.378,-10.065,0.0718,74.109,Sad
0.768,0.213,0.852,7.45E-05,0.0723,0.867,-6.215,0.038,128.374,Happy
0.731,0.0862,0.75,0.000388,0.202,0.639,-10.457,0.0321,135.406,Happy
0.67,0.762,0.417,0.0214,0.104,0.0708,-12.553,0.0404,121.13,Sad
0.21,0.00602,0.94,0,0.269,0.255,-3.427,0.123,179.722,Energetic
0.429,0.475,0.356,0.481,0.125,0.0965,-7.615,0.0282,139.915,Sad
0.548,0.13,0.569,0.00134,0.0584,0.265,-6.215,0.039,75.082,Sad
0.576,0.0198,0.948,0.000123,0.683,0.193,-4.251,0.0898,128.029,Happy
0.575,0.937,0.202,0.441,0.103,0.142,-18.544,0.0444,139.943,Calm
0.432,0.807,0.34,0,0.0864,0.449,-7.977,0.0824,135.172,Sad
0.387,0.993,0.00579,0.929,0.136,0.137,-21.823,0.0439,111.991,Calm
0.479,0.771,0.221,0.856,0.101,0.089,-19.689,0.0325,115.965,Calm
0.503,0.488,0.504,1.59E-06,0.122,0.67,-6.843,0.416,85.39,Sad
0.529,0.8,0.214,0.907,0.109,0.0903,-19.268,0.0315,124.069,Calm
0.283,0.993,0.122,0.905,0.0927,0.112,-23.074,0.0285,83.746,Calm
0.435,0.000203,0.884,0,0.0876,0.82,-3.468,0.0392,201.773,Energetic
0.463,0.000233,0.962,0.109,0.0906,0.66,-6.43,0.0704,94.003,Energetic
0.266,0.99,0.0028,0.889,0.0933,0.151,-33.729,0.0493,132.581,Calm
0.31,0.995,0.0987,0.86,0.714,0.0558,-25.408,0.0444,106.205,Calm
0.705,0.463,0.681,0.839,0.123,0.707,-8.278,0.0258,114.003,Sad
0.365,0.983,0.119,0.919,0.112,0.249,-20.962,0.0405,147.573,Calm
0.487,0.902,0.111,0.000107,0.35,0.179,-11.608,0.0356,87.161,Sad
0.674,0.00165,0.89,0.0136,0.0465,0.9,-3.953,0.274,104.862,Energetic
0.647,0.815,0.235,1.78E-05,0.233,0.0382,-10.123,0.0389,129.85,Sad
0.435,0.873,0.155,0,0.107,0.0935,-8.948,0.046,128.532,Sad
0.463,0.917,0.179,1.73E-05,0.12,0.183,-14.852,0.0402,80.747,Sad
0.578,0.994,0.0154,0.945,0.0799,0.244,-24.126,0.0987,123.953,Calm
0.475,0.0168,0.498,0.492,0.137,0.0592,-10.609,0.0303,88.882,Sad
0.653,0.0082,0.975,0.5,0.678,0.911,-9.071,0.0409,126.919,Happy
0.558,0.985,0.249,0.925,0.103,0.111,-14.715,0.0303,94.991,Calm
0.803,0.576,0.488,0.0609,0.0763,0.624,-9.303,0.0803,95.771,Happy
0.348,0.962,0.226,0.00483,0.135,0.173,-10.918,0.0386,129.251,Sad
0.19,0.768,0.167,0.164,0.126,0.0491,-11.298,0.0291,169.636,Sad
0.247,0.622,0.231,0.87,0.0878,0.0485,-19.639,0.0328,174.014,Calm
0.385,0.994,0.305,0.949,0.109,0.172,-12.044,0.0466,74.024,Calm
0.47,0.524,0.526,0.00557,0.0856,0.257,-10.987,0.0307,138.978,Sad
0.466,0.0266,0.833,0,0.0327,0.661,-4.215,0.304,88.785,Energetic
0.526,0.709,0.493,0.606,0.0993,0.574,-9.728,0.0428,154.071,Sad
0.376,0.133,0.277,0,0.0643,0.309,-18.291,0.0357,178.814,Sad
0.898,0.0135,0.271,0.00138,0.0461,0.742,-12.238,0.091,111.485,Happy
0.806,0.138,0.847,0.00157,0.067,0.97,-4.47,0.0319,121.718,Happy
0.696,0.0578,0.824,8.56E-06,0.158,0.667,-5.67,0.0538,126.023,Energetic
0.534,0.973,0.019,0.896,0.108,0.157,-26.071,0.0413,115.917,Calm
0.394,0.993,0.0807,0.944,0.0964,0.0394,-25.987,0.0318,124.904,Calm
0.559,0.0463,0.441,0.763,0.115,0.389,-13.862,0.0398,94.014,Calm
0.628,0.111,0.587,0,0.156,0.4,-5.195,0.0441,140.01,Sad
0.72,0.199,0.88,0.0246,0.0865,0.961,-8.988,0.0406,118.623,Happy
0.515,0.54,0.408,0.769,0.0916,0.308,-12.688,0.0385,115.002,Calm
0.658,0.0471,0.765,1.02E-05,0.0936,0.222,-7.002,0.0469,119.974,Happy
0.546,0.818,0.311,1.65E-05,0.107,0.246,-10.396,0.0288,147.464,Sad
0.596,0.381,0.528,0.859,0.205,0.15,-12.481,0.0289,117.041,Sad
0.309,0.0192,0.93,0.0022,0.106,0.376,-6.399,0.125,195.815,Happy
0.579,0.0426,0.784,0.0235,0.317,0.562,-4.686,0.0659,125.122,Energetic
0.301,0.99,0.189,0.893,0.106,0.0379,-16.072,0.0351,139.894,Calm
0.544,0.95,0.316,0.7,0.0978,0.173,-11.666,0.0307,124.989,Sad
0.741,0.00254,0.812,0.104,0.301,0.146,-5.356,0.039,124.991,Energetic
0.775,0.00481,0.876,0.0536,0.661,0.797,-9.58,0.0383,123.979,Energetic
0.591,0.0213,0.931,0,0.122,0.673,-4.84,0.0557,101.551,Happy
0.614,0.0125,0.96,0.687,0.366,0.0392,-5.081,0.0465,128.019,Energetic
0.238,0.404,0.191,0.888,0.107,0.0365,-20.242,0.0351,140.282,Calm
0.54,0.0122,0.574,0.000658,0.226,0.225,-7.006,0.0232,94.975,Sad
0.645,0.221,0.598,3.53E-06,0.0721,0.913,-13.18,0.0335,105.929,Happy
